Time,Latitude,Longitude,Altitude,Satellites,HDOP,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure,Temperature,Roll,Pitch,Yaw
1749560644.675182,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6762564,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6762564,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6782572,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.679754,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.679754,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.6810117,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.681525,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.8860009,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
1749560644.8865108,22.3531415,113.578783,17.35,27,0.59,-239,-224,-920,210,-233,-256,-18,-413,438,1004.6683349609375,34.36,0.15323352813720703,-0.10531258583068848,1.5876097679138184
